customer_id,age,gender,marital_status,household_size,education_level,occupation,income_level,location,state,country,proximity_to_branch,transaction_frequency,transaction_volume,transaction_type,atm_usage_patterns,online_banking_activity,channel_preferences,customer_service_interactions,product_engagement,savings_balance,checking_balance,investment_balance,credit_card_usage,loan_history,loan_repayment_behavior,investment_portfolio,credit_score,attitudes_towards_banking,financial_goals,risk_tolerance,spending_habits,interests_hobbies,customer_satisfaction_score,net_promoter_score,loyalty_program_participation,cross_selling_response_rate,inflation_rate,gdp_growth,social_media_behavior,online_shopping_habits,digital_engagement,major_life_events,significant_financial_milestones,survey_responses,preferred_communication_channels,product_feature_requests,risk_assessment_data,credit_risk_indicators
2195,44,Male,Divorced,3,PhD,Employed,High,Suburban,TX,Canada,Close,23,2702.320575,Deposit,Frequent,High,Website,High,Yes,23029.05031,4513.564987,22425.85624,17010.92644,Personal Loan,Average,Moderate,831,Negative,Retirement Planning,Medium,Moderate,Reading,3,4,No,0.212438515,1.33940932,4.528853915,Low,Occasional,Low,Marriage,None,Negative,Mail,No,High Risk,High Risk
2196,69,Female,Single,5,High School,Employed,Medium,Rural,NY,UK,Moderate,2,8716.045796,Transfer,Frequent,Medium,Mobile App,Low,Yes,33330.5991,994.3099343,90203.82873,3523.615782,Mortgage,Average,Conservative,654,Neutral,Retirement Planning,High,Moderate,Cooking,1,5,Yes,0.223397761,4.106563194,4.207121582,Low,Occasional,Medium,Retirement,Starting a Business,Positive,Email,No,High Risk,Stable
2197,48,Male,Widowed,1,Bachelor,Unemployed,High,Suburban,FL,Australia,Close,17,2933.45002,Withdrawal,Rare,Medium,Mobile App,Low,Yes,25655.13727,15448.63149,27885.23066,9705.661651,Mortgage,Average,Aggressive,405,Negative,Education Funding,Medium,Moderate,Cooking,4,6,No,0.979622258,1.957394865,2.211608864,Moderate,Rare,High,Marriage,Starting a Business,Positive,Mail,No,Low Risk,Warning
2198,58,Male,Single,5,High School,Employed,Medium,Urban,CA,Canada,Moderate,8,731.4425328,Deposit,Frequent,Medium,Branch,Low,Yes,25223.18337,2386.982328,71737.92394,528.1989822,None,Good,Conservative,637,Neutral,Wealth Accumulation,Medium,Spender,Cooking,2,9,Yes,0.497715465,2.845395588,3.605243561,Moderate,Occasional,Low,Retirement,Starting a Business,Neutral,Phone,No,High Risk,Stable
2199,50,Male,Single,3,High School,Self-employed,High,Urban,CA,USA,Moderate,18,252.1304995,Withdrawal,Occasional,Medium,Branch,Low,No,32674.85532,11745.15178,69037.44935,11462.75863,Personal Loan,Poor,Conservative,828,Positive,Wealth Accumulation,Medium,Conservative,Sports,1,4,Yes,0.748483041,0.772826659,3.651591592,Active,Frequent,Medium,Birth of a Child,None,Negative,Phone,No,High Risk,Warning
2200,66,Male,Single,4,Bachelor,Employed,Medium,Rural,FL,UK,Close,25,9236.264633,Purchase,Occasional,Low,Mobile App,Low,Yes,18584.1854,12771.19601,57007.7484,10267.07883,Car Loan,Average,Aggressive,410,Positive,Education Funding,Low,Moderate,Sports,4,2,No,0.22006829,4.965034276,4.398124031,Moderate,Occasional,Low,Birth of a Child,Starting a Business,Neutral,Email,No,High Risk,High Risk
2201,62,Male,Married,3,Master,Employed,Medium,Urban,TX,Australia,Close,22,4081.563191,Deposit,Occasional,High,Mobile App,Medium,Yes,3719.054758,5086.073998,75403.60139,14271.07399,None,Good,Aggressive,537,Positive,Retirement Planning,Low,Moderate,Reading,2,8,Yes,0.120654813,0.169471361,3.686683949,Active,Occasional,Low,None,None,Neutral,Phone,No,High Risk,High Risk
2202,69,Female,Divorced,2,College,Student,High,Suburban,IL,UK,Close,17,2213.540175,Withdrawal,Rare,Low,Website,Low,Yes,24531.20978,11352.64506,97894.32629,16341.76617,Personal Loan,Good,Moderate,607,Positive,Retirement Planning,Low,Conservative,Reading,4,5,No,0.272436407,3.470293067,4.565845116,Low,Frequent,Medium,Birth of a Child,None,Negative,Email,Yes,Medium Risk,High Risk
2203,42,Male,Widowed,4,Bachelor,Self-employed,Medium,Urban,FL,Canada,Far,16,5714.304003,Purchase,Occasional,High,Website,Low,Yes,11212.53147,10781.17992,292.4541839,19476.6134,Car Loan,Good,Aggressive,406,Positive,Education Funding,Low,Conservative,Travel,1,7,Yes,0.291322464,3.155370909,1.375338021,Low,Occasional,Low,None,None,Positive,Phone,No,Low Risk,High Risk
2204,63,Male,Married,4,College,Self-employed,Medium,Rural,TX,Canada,Far,27,4930.068081,Withdrawal,Frequent,High,Mobile App,High,No,43487.39607,13977.20828,85432.40822,14191.56643,Mortgage,Average,Conservative,582,Negative,Education Funding,Medium,Spender,Reading,2,8,Yes,0.190558065,0.82376869,4.83639647,Active,Occasional,Medium,Retirement,Starting a Business,Neutral,Phone,No,High Risk,Stable
2205,57,Female,Single,4,Master,Employed,Medium,Suburban,NY,Canada,Far,15,9998.442268,Withdrawal,Rare,Medium,Website,High,Yes,36862.68483,18022.71702,12397.80987,11579.97018,Car Loan,Good,Conservative,494,Negative,Retirement Planning,Medium,Moderate,Reading,4,4,Yes,0.786824585,4.701534723,2.615528805,Active,Frequent,Low,Marriage,Buying a House,Positive,Phone,No,High Risk,High Risk
2206,39,Female,Widowed,3,Bachelor,Student,Medium,Urban,FL,UK,Close,15,8896.199257,Withdrawal,Rare,High,Branch,High,Yes,38286.6872,2667.697452,52043.20199,16421.27617,Mortgage,Good,Aggressive,441,Negative,Education Funding,High,Conservative,Music,2,2,No,0.456715422,1.35420964,0.94094773,Moderate,Frequent,Low,Birth of a Child,Buying a House,Neutral,Mail,Yes,Medium Risk,High Risk
2207,42,Female,Single,2,PhD,Employed,Medium,Urban,TX,Australia,Far,24,2783.912761,Deposit,Rare,Medium,Mobile App,Low,Yes,25690.53982,11446.51647,80478.52361,16312.92967,None,Poor,Aggressive,758,Negative,Education Funding,Low,Spender,Sports,2,7,Yes,0.512649408,1.845981374,3.5194053,Active,Frequent,High,Marriage,None,Negative,Mail,Yes,High Risk,Stable
2208,64,Male,Single,5,Bachelor,Employed,Medium,Urban,CA,UK,Moderate,23,7007.323825,Deposit,Occasional,Low,Website,Medium,Yes,27058.98474,10914.21517,39833.0146,17704.75682,Car Loan,Poor,Moderate,412,Negative,Education Funding,High,Spender,Cooking,1,9,Yes,0.346738796,1.315826946,3.207577905,Moderate,Occasional,Medium,Birth of a Child,None,Positive,Phone,Yes,High Risk,Stable
2209,35,Male,Single,3,Master,Unemployed,Medium,Rural,IL,Canada,Moderate,12,3933.029537,Deposit,Frequent,Medium,Branch,High,No,10884.38412,10035.53237,58094.50595,17522.16684,None,Good,Moderate,501,Neutral,Wealth Accumulation,High,Moderate,Travel,3,1,No,0.70628825,4.230419128,2.102673827,Low,Rare,Low,Birth of a Child,Starting a Business,Neutral,SMS,Yes,Medium Risk,High Risk
2210,69,Female,Widowed,1,High School,Student,Medium,Rural,IL,UK,Moderate,27,3707.932863,Purchase,Rare,High,Mobile App,High,Yes,33546.01353,7822.341943,21750.87887,14207.52087,Mortgage,Average,Aggressive,499,Positive,Retirement Planning,Low,Spender,Cooking,3,0,Yes,0.783029138,1.199974371,2.580555287,Active,Rare,Medium,Birth of a Child,None,Negative,Phone,Yes,Medium Risk,Stable
2211,61,Female,Divorced,1,Bachelor,Unemployed,High,Urban,IL,USA,Moderate,17,3734.362555,Transfer,Rare,High,Mobile App,Low,Yes,33266.64269,19789.70512,10413.40537,14124.46644,None,Good,Conservative,326,Negative,Retirement Planning,High,Conservative,Cooking,3,1,No,0.663159589,2.654015115,1.014694539,Low,Occasional,High,Birth of a Child,None,Positive,SMS,No,Medium Risk,Stable
2212,27,Female,Single,3,PhD,Employed,Medium,Suburban,TX,Australia,Far,24,6428.626191,Transfer,Rare,Medium,Mobile App,Medium,Yes,27234.04856,14767.47903,30181.27608,4975.492884,Personal Loan,Poor,Moderate,502,Negative,Wealth Accumulation,Low,Spender,Cooking,4,9,Yes,0.942345242,2.699384421,0.901534644,Moderate,Rare,High,None,Starting a Business,Negative,Phone,No,High Risk,Warning
2213,69,Female,Divorced,5,Bachelor,Employed,Low,Urban,TX,Canada,Far,18,5426.04031,Deposit,Frequent,Low,Website,Medium,No,33203.85866,14650.89954,62821.15492,918.4311682,Mortgage,Poor,Moderate,330,Neutral,Wealth Accumulation,High,Conservative,Travel,4,0,No,0.56924394,2.59716136,2.668634649,Low,Rare,High,None,Starting a Business,Neutral,Mail,No,High Risk,Stable
2214,40,Male,Widowed,1,High School,Student,High,Suburban,NY,UK,Moderate,8,7574.994229,Transfer,Frequent,Low,Website,Low,Yes,48707.85389,14658.96887,57061.11902,10716.99854,Mortgage,Poor,Conservative,327,Neutral,Retirement Planning,Low,Conservative,Cooking,2,1,Yes,0.702546694,3.736321788,1.545893576,Moderate,Occasional,Low,Marriage,Buying a House,Positive,SMS,No,Medium Risk,Warning
2215,20,Male,Widowed,5,Bachelor,Self-employed,High,Suburban,IL,USA,Close,9,1614.559878,Withdrawal,Occasional,Medium,Mobile App,Medium,Yes,47975.47686,1971.501457,60702.78003,7119.063523,Personal Loan,Good,Aggressive,388,Positive,Wealth Accumulation,High,Moderate,Sports,2,1,Yes,0.508893903,4.029236738,4.149523656,Low,Frequent,Medium,Retirement,None,Negative,SMS,No,High Risk,Stable
2216,27,Male,Single,4,PhD,Employed,Low,Rural,CA,Canada,Moderate,15,4311.72776,Transfer,Frequent,Low,Mobile App,High,Yes,47922.54025,2734.462995,38071.41875,6572.073593,Car Loan,Poor,Aggressive,653,Neutral,Education Funding,High,Conservative,Music,4,4,Yes,0.812412327,3.409328776,3.365339068,Active,Occasional,High,None,Buying a House,Neutral,Phone,No,High Risk,Warning
2217,48,Male,Divorced,3,Master,Employed,Medium,Urban,IL,UK,Moderate,13,8617.19825,Transfer,Occasional,Low,Website,Medium,Yes,4810.312004,3316.267292,86739.00671,9562.334251,None,Poor,Aggressive,411,Neutral,Wealth Accumulation,Medium,Spender,Sports,3,7,No,0.895768384,0.207697026,1.898239893,Active,Occasional,High,Retirement,None,Neutral,Phone,No,Medium Risk,Stable
2218,51,Male,Divorced,4,PhD,Unemployed,Low,Rural,FL,Canada,Close,29,131.3274558,Purchase,Frequent,Low,Website,High,No,40089.56696,6880.110612,56616.06882,16366.8187,Personal Loan,Average,Moderate,403,Neutral,Education Funding,Low,Conservative,Sports,1,9,No,0.176257569,4.334916343,0.195376547,Moderate,Occasional,High,Retirement,None,Neutral,Phone,No,High Risk,Stable
2219,57,Female,Single,1,Master,Unemployed,Low,Urban,FL,Australia,Close,5,6272.573263,Transfer,Occasional,Medium,Website,Medium,Yes,45456.46374,7339.129911,32670.2804,14097.49889,Car Loan,Good,Conservative,304,Positive,Retirement Planning,High,Conservative,Sports,2,9,No,0.611077526,2.359482662,4.31843359,Low,Frequent,Medium,None,None,Positive,SMS,No,Low Risk,High Risk
2220,24,Male,Married,5,PhD,Student,Low,Suburban,CA,Canada,Far,21,7878.796511,Deposit,Occasional,Medium,Mobile App,High,Yes,42867.37367,5157.994736,25136.8332,4135.054435,Car Loan,Poor,Conservative,443,Negative,Wealth Accumulation,High,Conservative,Travel,2,8,No,0.772837015,3.185679333,0.440257785,Active,Occasional,Low,Birth of a Child,None,Neutral,Mail,Yes,High Risk,Warning
2221,66,Female,Married,4,College,Unemployed,High,Rural,TX,Canada,Close,23,3900.159272,Withdrawal,Occasional,High,Website,High,Yes,15369.05992,9530.595559,49547.66294,3400.836215,Personal Loan,Poor,Moderate,568,Positive,Wealth Accumulation,Medium,Conservative,Sports,3,9,No,0.483354361,4.884158518,4.999079625,Moderate,Frequent,Medium,Birth of a Child,Buying a House,Negative,Mail,No,Low Risk,Warning
2222,41,Female,Widowed,1,Bachelor,Self-employed,Medium,Rural,IL,Australia,Close,1,8847.798285,Withdrawal,Rare,High,Mobile App,High,No,21208.76955,14862.96864,97045.23128,19864.97134,Car Loan,Good,Conservative,807,Negative,Retirement Planning,Medium,Spender,Cooking,3,3,No,0.839052855,3.32806925,4.346389009,Moderate,Frequent,Low,Birth of a Child,Starting a Business,Negative,Email,No,Low Risk,Stable
2223,66,Female,Widowed,2,Bachelor,Employed,High,Rural,FL,UK,Far,21,7383.347859,Deposit,Occasional,High,Mobile App,Low,Yes,7503.981568,4626.32503,88512.10666,13046.21597,None,Poor,Moderate,756,Neutral,Retirement Planning,Low,Spender,Sports,2,0,Yes,0.231157587,4.923591622,0.689087417,Active,Frequent,Low,Birth of a Child,None,Negative,Mail,No,Low Risk,Warning
2224,53,Male,Married,4,High School,Unemployed,Medium,Suburban,CA,USA,Far,12,6099.877093,Deposit,Rare,Medium,Mobile App,Low,No,29734.68556,3395.519156,78731.35083,13629.39602,Personal Loan,Poor,Moderate,731,Negative,Education Funding,Medium,Conservative,Reading,3,1,Yes,0.910923542,4.576735175,3.754812845,Active,Occasional,Low,None,Starting a Business,Neutral,Email,Yes,High Risk,High Risk
2225,20,Female,Married,2,College,Self-employed,Low,Rural,NY,USA,Moderate,1,2063.392535,Withdrawal,Frequent,Medium,Branch,Medium,Yes,861.2550266,18822.27679,66803.82853,15796.07226,Mortgage,Poor,Moderate,670,Negative,Education Funding,Medium,Conservative,Music,3,0,Yes,0.215276076,4.920113407,2.33631727,Low,Occasional,Medium,Retirement,Starting a Business,Negative,Mail,No,Medium Risk,Warning
2226,45,Male,Married,2,High School,Employed,High,Urban,FL,Australia,Moderate,27,6734.029025,Purchase,Rare,Medium,Mobile App,Medium,Yes,36323.15831,2915.023013,22695.26222,10927.24783,Personal Loan,Average,Conservative,370,Negative,Wealth Accumulation,Medium,Spender,Cooking,3,5,No,0.112608889,0.930223329,1.766967044,Active,Frequent,Low,Marriage,Starting a Business,Neutral,SMS,No,Low Risk,Warning
2227,62,Female,Single,1,Bachelor,Employed,Medium,Urban,FL,Canada,Close,24,8354.291988,Deposit,Occasional,Medium,Mobile App,Medium,No,8642.828561,19030.78937,62644.12893,7241.719438,None,Good,Aggressive,620,Positive,Education Funding,Low,Spender,Travel,4,7,Yes,0.384549839,3.709654236,2.630310116,Active,Rare,High,Birth of a Child,Starting a Business,Negative,Phone,Yes,Low Risk,High Risk
2228,29,Male,Single,3,High School,Self-employed,Medium,Suburban,IL,UK,Far,24,7326.09954,Withdrawal,Rare,Medium,Mobile App,High,Yes,38211.8315,13799.08688,35961.6267,11086.51873,Personal Loan,Poor,Moderate,792,Negative,Education Funding,High,Conservative,Reading,4,6,Yes,0.123453569,0.174629587,0.662667545,Active,Occasional,Low,Marriage,Starting a Business,Negative,Email,No,Low Risk,Warning
2229,49,Female,Single,5,Master,Employed,Low,Rural,TX,UK,Close,17,5791.082942,Purchase,Occasional,Low,Website,High,Yes,16805.32826,12671.18455,65156.23244,12799.09296,Car Loan,Good,Conservative,433,Negative,Wealth Accumulation,Medium,Conservative,Cooking,1,5,No,0.573890844,4.787009354,1.611771151,Active,Rare,Low,Birth of a Child,Buying a House,Negative,SMS,No,High Risk,Warning
2230,69,Male,Single,1,College,Self-employed,High,Urban,FL,Australia,Close,2,7174.310704,Withdrawal,Rare,High,Website,Medium,No,49688.76658,16235.66652,57493.18898,9920.825566,Mortgage,Poor,Conservative,571,Negative,Wealth Accumulation,High,Conservative,Reading,4,0,Yes,0.62833742,2.031562051,3.062637361,Active,Occasional,Low,Birth of a Child,None,Neutral,SMS,No,Low Risk,Warning
2231,37,Female,Single,4,PhD,Self-employed,High,Rural,FL,UK,Moderate,7,9771.196874,Withdrawal,Frequent,Medium,Branch,High,No,20398.85154,1394.925081,93849.01611,12103.28027,Personal Loan,Good,Conservative,470,Positive,Wealth Accumulation,Medium,Conservative,Music,1,4,No,0.555843669,2.131914728,3.566594426,Low,Rare,High,Birth of a Child,Starting a Business,Neutral,Phone,No,Medium Risk,Stable
2232,36,Female,Single,5,Master,Unemployed,High,Urban,IL,USA,Close,23,206.9629761,Purchase,Rare,High,Mobile App,High,No,40958.50608,3115.84326,22124.86636,18995.51461,Personal Loan,Average,Moderate,651,Positive,Wealth Accumulation,Medium,Spender,Cooking,1,2,Yes,0.879881416,4.181688068,1.63048344,Moderate,Rare,High,Birth of a Child,None,Positive,Phone,No,High Risk,High Risk
2233,45,Female,Widowed,3,PhD,Student,High,Suburban,TX,UK,Close,28,6672.893324,Deposit,Occasional,Medium,Website,High,Yes,10496.93603,1542.528902,32341.72767,8119.909165,None,Average,Moderate,323,Neutral,Retirement Planning,Medium,Moderate,Reading,1,8,Yes,0.76846622,2.099971509,4.101304042,Moderate,Frequent,Medium,Birth of a Child,Buying a House,Neutral,Mail,No,Medium Risk,High Risk
2234,27,Female,Divorced,1,High School,Self-employed,High,Urban,NY,Canada,Moderate,25,7950.626549,Deposit,Rare,High,Branch,Low,Yes,25778.97344,14276.34609,90506.94093,12874.42684,Car Loan,Average,Conservative,729,Negative,Wealth Accumulation,High,Moderate,Cooking,3,6,Yes,0.873999319,0.810846892,3.842536008,Active,Rare,Low,Marriage,Buying a House,Neutral,Mail,No,Low Risk,High Risk
2235,66,Male,Widowed,3,Bachelor,Unemployed,High,Urban,NY,UK,Moderate,3,6425.026104,Transfer,Occasional,Medium,Branch,Medium,No,35059.96809,1319.063227,99726.04881,13912.94576,None,Poor,Aggressive,827,Negative,Education Funding,Low,Spender,Reading,4,7,No,0.229600932,1.471130373,3.557040449,Low,Frequent,High,Retirement,None,Negative,Phone,No,Low Risk,Warning
2236,59,Male,Divorced,4,Master,Employed,High,Urban,NY,Australia,Far,18,2803.611753,Deposit,Occasional,Medium,Mobile App,Medium,No,26160.2267,26.67610745,18509.457,10668.28251,Car Loan,Average,Conservative,541,Positive,Education Funding,Medium,Moderate,Travel,2,4,No,0.785722163,4.162405759,4.672390877,Moderate,Occasional,High,Marriage,Starting a Business,Neutral,SMS,Yes,Low Risk,Warning
2237,68,Male,Widowed,1,College,Unemployed,Low,Suburban,NY,Australia,Moderate,14,8245.298226,Deposit,Frequent,High,Mobile App,Low,Yes,37375.76625,2040.205348,31253.9498,365.7615764,None,Average,Aggressive,585,Negative,Retirement Planning,Medium,Spender,Music,2,5,No,0.518188703,0.762707222,0.960505009,Low,Frequent,Medium,Marriage,Buying a House,Negative,Phone,No,Medium Risk,Warning
2238,31,Female,Widowed,4,PhD,Self-employed,Medium,Urban,TX,USA,Far,10,9141.661233,Purchase,Occasional,Low,Website,Medium,Yes,31844.18945,2056.964929,19937.45654,19685.44361,Mortgage,Average,Moderate,769,Positive,Retirement Planning,High,Moderate,Cooking,1,8,Yes,0.445001232,4.346322227,1.389050639,Low,Rare,High,None,None,Neutral,Phone,Yes,Medium Risk,High Risk
2239,46,Female,Single,5,Master,Unemployed,Low,Suburban,NY,USA,Far,24,6866.696845,Purchase,Occasional,Medium,Mobile App,High,Yes,32797.79254,854.5382935,66023.02031,7240.040982,Personal Loan,Average,Aggressive,753,Neutral,Wealth Accumulation,Low,Spender,Sports,2,7,Yes,0.128148676,4.355732774,3.096991891,Low,Occasional,High,None,Starting a Business,Neutral,Mail,No,High Risk,Warning
2240,27,Female,Single,5,Bachelor,Student,Medium,Suburban,IL,USA,Moderate,27,5159.13963,Withdrawal,Frequent,Low,Website,High,Yes,7120.837837,7993.783463,56757.89274,12835.55873,Car Loan,Good,Aggressive,765,Positive,Education Funding,Low,Moderate,Cooking,4,1,No,0.631354518,1.889049182,2.461939229,Low,Occasional,High,Birth of a Child,Buying a House,Positive,Email,No,Low Risk,Stable
2241,44,Female,Divorced,3,College,Employed,Medium,Urban,IL,USA,Moderate,7,3726.576691,Purchase,Occasional,Low,Mobile App,Medium,Yes,41827.00002,17286.9483,63157.59754,17448.68893,None,Poor,Aggressive,428,Negative,Retirement Planning,Medium,Conservative,Sports,4,2,Yes,0.988687897,3.892862238,0.874410941,Low,Frequent,Medium,Marriage,Starting a Business,Neutral,SMS,No,Low Risk,Warning
2242,65,Female,Divorced,3,College,Unemployed,Medium,Rural,IL,UK,Moderate,14,3367.561904,Purchase,Rare,High,Website,Medium,No,3406.353007,14842.97119,78023.50804,16351.58387,Car Loan,Average,Conservative,714,Neutral,Education Funding,Low,Moderate,Music,4,0,Yes,0.883722827,4.52982146,1.868317146,Active,Rare,Low,Retirement,Buying a House,Negative,Phone,No,Low Risk,High Risk
2243,23,Female,Single,5,PhD,Employed,High,Urban,NY,UK,Close,3,7259.95369,Withdrawal,Frequent,Medium,Branch,High,No,13265.88323,15165.38217,16919.60605,11831.65652,Car Loan,Poor,Moderate,514,Negative,Wealth Accumulation,High,Spender,Music,3,6,Yes,0.764556585,2.942865965,2.57758448,Active,Rare,Medium,Birth of a Child,Starting a Business,Positive,Phone,No,Low Risk,Stable
2244,52,Male,Widowed,2,Master,Self-employed,High,Suburban,IL,Australia,Moderate,11,6110.521583,Withdrawal,Frequent,High,Branch,High,Yes,48144.72964,949.8447285,16018.68894,14339.3557,Car Loan,Good,Aggressive,828,Neutral,Wealth Accumulation,Medium,Spender,Sports,4,1,No,0.469294366,1.481853568,3.830351116,Low,Frequent,High,None,Buying a House,Neutral,Email,No,Medium Risk,Warning
2245,20,Male,Divorced,5,Master,Student,Medium,Rural,IL,Australia,Far,15,1652.820676,Transfer,Occasional,Medium,Branch,Medium,Yes,35915.34593,12623.48385,87988.49398,4943.211532,Car Loan,Poor,Aggressive,775,Negative,Retirement Planning,High,Moderate,Cooking,2,7,No,0.640629874,4.819697856,2.832588644,Moderate,Rare,Medium,Birth of a Child,Buying a House,Negative,SMS,No,Medium Risk,Stable
2246,38,Male,Married,1,College,Student,Medium,Urban,CA,USA,Far,19,1496.856791,Purchase,Occasional,Low,Branch,Medium,Yes,45683.0839,7307.06344,97109.52129,7443.792364,Personal Loan,Good,Aggressive,491,Negative,Retirement Planning,High,Moderate,Reading,4,9,No,0.597728967,4.124015374,4.606087633,Low,Frequent,Medium,Retirement,None,Neutral,Phone,No,High Risk,Stable
2247,50,Male,Married,4,High School,Unemployed,High,Urban,NY,UK,Far,23,803.8821163,Transfer,Frequent,Low,Mobile App,High,Yes,980.5742061,19643.24788,46137.2715,19693.59215,Car Loan,Good,Conservative,710,Negative,Wealth Accumulation,Medium,Conservative,Sports,3,3,No,0.334323917,0.979584417,2.956007884,Active,Occasional,High,None,None,Positive,Mail,Yes,Medium Risk,Warning
2248,35,Male,Married,5,College,Employed,High,Urban,IL,Canada,Moderate,29,6866.767998,Transfer,Rare,Low,Branch,Low,Yes,8229.180824,4133.385339,2350.704722,15541.92249,None,Average,Aggressive,599,Positive,Wealth Accumulation,Low,Spender,Music,2,7,Yes,0.522320693,0.804940969,2.621772298,Low,Rare,Low,None,None,Neutral,Email,No,High Risk,Stable
2249,33,Male,Divorced,5,Bachelor,Employed,Medium,Urban,TX,USA,Far,12,3212.207273,Transfer,Occasional,Medium,Branch,Low,Yes,48911.2977,4349.587031,71683.82697,3878.107393,None,Poor,Moderate,688,Positive,Wealth Accumulation,High,Spender,Reading,1,6,No,0.650106585,4.32846597,3.238216579,Low,Rare,High,Birth of a Child,Buying a House,Positive,SMS,No,Low Risk,High Risk
2250,67,Male,Single,4,Master,Unemployed,Medium,Urban,IL,USA,Far,27,300.4004428,Deposit,Rare,Medium,Website,High,Yes,32842.9106,2415.90414,28248.99961,18286.2156,Mortgage,Poor,Aggressive,645,Positive,Wealth Accumulation,High,Moderate,Cooking,4,0,No,0.826470657,1.214169129,1.693253321,Low,Rare,Low,None,Starting a Business,Positive,SMS,No,Low Risk,High Risk
2251,24,Male,Single,4,PhD,Unemployed,Low,Rural,CA,UK,Close,5,3443.158084,Withdrawal,Occasional,Low,Website,High,No,7068.430677,12083.05785,6803.778287,10539.67981,Personal Loan,Average,Conservative,543,Positive,Retirement Planning,High,Conservative,Sports,3,1,Yes,0.019109025,3.464426627,3.624945341,Moderate,Rare,Low,Birth of a Child,None,Neutral,SMS,Yes,Low Risk,Warning
2252,60,Female,Single,1,Master,Unemployed,High,Urban,TX,Canada,Moderate,9,8337.954855,Purchase,Occasional,Low,Mobile App,High,Yes,31001.03406,10203.67199,39346.79655,17413.43441,None,Poor,Conservative,376,Negative,Wealth Accumulation,High,Moderate,Cooking,4,6,Yes,0.747985155,1.740292378,1.275394776,Low,Occasional,Low,None,Starting a Business,Neutral,Phone,Yes,Low Risk,Warning
2253,45,Female,Divorced,4,College,Unemployed,High,Suburban,TX,USA,Moderate,26,2551.859049,Transfer,Frequent,Low,Mobile App,Low,Yes,17495.30604,5579.332424,37598.59002,13536.63208,Personal Loan,Poor,Aggressive,525,Negative,Education Funding,Medium,Spender,Sports,2,5,Yes,0.976982666,0.381954373,2.895079729,Moderate,Occasional,Medium,None,Starting a Business,Negative,Email,No,High Risk,High Risk
2254,47,Female,Divorced,3,Bachelor,Student,Medium,Suburban,FL,Canada,Far,7,6372.139007,Withdrawal,Frequent,Low,Website,Low,Yes,35025.54387,12149.65711,56983.19832,13468.61274,None,Good,Moderate,463,Positive,Retirement Planning,High,Spender,Sports,2,6,No,0.609186049,3.779404377,0.913734924,Low,Frequent,Low,Retirement,Starting a Business,Negative,SMS,Yes,High Risk,Stable
2255,21,Female,Married,5,High School,Unemployed,Low,Rural,CA,Australia,Close,15,4452.744711,Withdrawal,Rare,Medium,Website,Low,Yes,43645.64965,9612.230638,26769.80756,409.0385664,Mortgage,Poor,Conservative,814,Negative,Education Funding,High,Spender,Sports,2,3,No,0.610605942,2.258405336,0.861961906,Moderate,Rare,Low,Marriage,Starting a Business,Neutral,Mail,Yes,High Risk,Stable
2256,69,Female,Divorced,4,Master,Employed,High,Suburban,CA,Australia,Far,1,5534.06928,Deposit,Frequent,Medium,Mobile App,Low,Yes,45375.11736,10685.42248,83458.34503,17342.00141,Personal Loan,Average,Moderate,792,Negative,Retirement Planning,High,Moderate,Sports,3,5,No,0.780412104,4.310316039,3.912287588,Low,Frequent,High,Marriage,Buying a House,Neutral,SMS,No,Low Risk,Stable
2257,25,Female,Married,1,College,Self-employed,Low,Rural,IL,USA,Close,1,5998.149806,Purchase,Rare,Medium,Website,Medium,Yes,3658.842981,5870.984049,20251.97029,9403.772646,Car Loan,Poor,Aggressive,523,Negative,Education Funding,High,Spender,Reading,4,6,No,0.347673176,4.952266256,1.590534927,Active,Occasional,Low,Birth of a Child,Starting a Business,Neutral,Email,No,High Risk,Warning
2258,28,Female,Married,4,College,Employed,Low,Suburban,CA,UK,Far,6,4602.62871,Transfer,Rare,High,Branch,Low,Yes,4342.300153,12424.76396,51712.92838,513.3764873,Car Loan,Average,Moderate,433,Positive,Wealth Accumulation,High,Spender,Travel,4,1,No,0.326188596,3.960440811,4.837976751,Low,Rare,Low,None,Starting a Business,Neutral,Email,No,Low Risk,Stable
2259,52,Male,Single,5,College,Unemployed,High,Rural,TX,USA,Far,21,672.7728349,Deposit,Frequent,Low,Mobile App,High,No,8885.799509,18124.34107,20624.94575,9980.835876,Mortgage,Poor,Moderate,487,Neutral,Education Funding,High,Conservative,Sports,3,5,Yes,0.165585589,1.110316906,3.926304457,Moderate,Frequent,High,Marriage,None,Neutral,Email,No,Medium Risk,High Risk
2260,60,Male,Divorced,2,Bachelor,Student,Medium,Urban,TX,UK,Moderate,5,5720.184628,Withdrawal,Rare,High,Website,Low,Yes,15777.17067,3062.950061,55957.21984,19381.72159,Car Loan,Average,Conservative,769,Neutral,Education Funding,Low,Conservative,Travel,3,7,Yes,0.293453365,0.12176573,1.704657618,Active,Rare,High,Birth of a Child,None,Negative,SMS,No,Low Risk,Warning
2261,44,Female,Single,4,College,Unemployed,Low,Suburban,IL,Canada,Close,11,4035.495643,Transfer,Frequent,Low,Mobile App,High,Yes,26813.74064,424.4788655,75882.06102,14019.28431,None,Good,Moderate,805,Positive,Education Funding,Medium,Conservative,Reading,3,4,Yes,0.791635002,0.34349279,1.146663175,Active,Rare,High,Birth of a Child,Starting a Business,Negative,SMS,No,High Risk,Stable
